name,city,country
Tampa Padang Airport,Mamuju,Indonesia
Mamusi Airstrip,Mamusi,Papua New Guinea
Mana Airport,Mana,French Guiana
Kouachinana Airport,Mana,French Guiana
Agrotec Airport,Manacapuru,Brazil
Portocristo Airstrip,Manacor,Spain
Managua Airport,Managua,Cuba
Manajang Airport,Manajang,South Sudan
Sabot Airport,Manakin-Sabot,United States
Mar Bar L Farms Airport,Manalapan Township,United States
Manari Airport,Manari,Guyana
Manari Airport,Manari,Papua New Guinea
Aden Field,Manassas,United States
Skyview Airport,Manassas,United States
Mânăstirea Airfield,Mânăstirea,Romania
El Esfuerzo Airport,Manatí,Colombia
Manaung Airport,Manaung,Myanmar
São Joaquim Airport,Manaus,Brazil
Manberry Station airstrip,Manberry Station,Australia
Manbulloo Airstrip,Manbulloo,Australia
Mancelona Municipal Airport,Mancelona,United States
Sky Airport,Manchester,United States
Ragsdale Road Airport,Manchester,United States
Arnold Air Force Base,Manchester,United States
McCrays Airport,Manchester,United States
Miller Brothers Airport,Manchester,United States
Ardell Flying Field,Manchester,United States
Spencer Field,Manchester,United States
Equinox Landing Field,Manchester Center,United States
Hector’s River Agricultural Airstrip,Manchioneal,Jamaica
Flying Buttero Airfield,Manciano (GR),Italy
Walter Braedt Segú Airport,Máncora,Peru
Manda Point Airstrip,Manda Island,Kenya
Mandabe Airport,Mandabe,Madagascar
Chanmyathazi Airport,Mandalay,Myanmar
Landeis Airstrip,Mandan,United States
Z. P. Field,Mandan,United States
Mandera Airport,Mandera,Kenya
Mandi Bahauddin Air Base,Mandi Bahauddin,Pakistan
Mandinga Airport,Mandinga,Panama
Mandji Airport,Mandji,Gabon
Mandoro Airport,Mandoro,Republic of the Congo
Aerotre Airfield,Manduria (TA),Italy
Mandvi Airport,Mandvi,India
Manětín Airstrip,Manětín,Czech Republic
Fazed Santa Bárbara Airport,Manga,Brazil
WR Agropasto Airport,Manga,Brazil
El Porvenir Airport,Manga,Honduras
Manga Airport,Manga Mission,Papua New Guinea
Mangai Ii Airport,Mangai Ii,Democratic Republic of the Congo
Mangamuka Bridge Airstrip,Mangamuka,New Zealand
Neyuka Airstrip,Mangara,Zimbabwe
Fazenda Bom Jardim Airport,Mangaratiba,Brazil
Williams Flying Service Airport,Mangham,United States
Bobby Jones Flying Service Inc Airport,Mangham,United States
Goldmine Plantation Airport,Mangham,United States
High Hopes Airport,Mangham,United States
Mangkajang Airport,Mangkajang-Borneo Island,Indonesia
Sansanné-Mango Airport,Mango,Togo
"Mangole Airport, Falabisahaya",Mangole Island,Indonesia
Scott Airport,Mangum,United States
Scott Field,Mangum,United States
Mangun Jaya Airport,Mangun Jaya,Indonesia
Manguna Airport,Manguna,Papua New Guinea
Manguri Airport,Manguri,Australia
Sunshine Ranch Airport,Manhattan,United States
Deep Creek Airport,Manhattan,United States
Hammond Airport,Manhattan,United States
Hall Airport,Manhattan,United States
Tracy Airport,Manhattan,United States
Clarence C Johnson Airport,Manhattan,United States
Smith Airport,Manhattan,United States
N & N Airport,Manhattan,United States
Metzler Airport,Manheim,United States
Aeroporto Elias Breder Airport,Manhuaçu,Brazil
Casanare Airport,Maní,Colombia
Dumacita Airport,Maní,Colombia
Estero Airport,Maní,Colombia
Los Milagros Airport,Maní,Colombia
Villa Andrea Airport,Maní,Colombia
La Gloria Airport,Maní,Colombia
Tío Bayo Airport,Maní,Colombia
Santiago I Airport,Maní,Colombia
Fazenda Dois Irmãos Airport,Manicoré,Brazil
Fazenda Mata Velha Airport,Manicoré,Brazil
Manic-Cinq Airport,Manicouagan,Canada
Simpson Flying Services Airport,Manila,United States
Manilla Paragliding,Manilla,Australia
Manily Airport,Manily,Russia
Manis Mata Airstrip,Manis Mata,Indonesia
Manito Mitchell Airport,Manito,United States
Hoppe Sky Ranch Airport,Mankato,United States
Budde Airport,Mankato,United States
Mankato Farmstrip Airport,Mankato,United States
Lepanto Mines Airstrip,Mankayan,Philippines
Mankien Airstrip,Mankien,South Sudan
Pilgrims Rest Airport,Mankolehlotlo,South Africa
Mankomen Lake Airport,Mankomen Lake,United States
Carter Flight Park Ultralightport,Manlius,United States
Manna Hill Airport,Mannahill,Australia
Pocotaligo Airport,Manning,United States
Palmetto Air Plantation Airport,Manning,United States
Hamburg Airport,Manning,Canada
Manoel Ribas Airport,Manoel Ribas,Brazil
Manoel Urbano Airport,Manoel Urbano,Brazil
Del Monte Plantation Airport,Manolo Fortich,Philippines
Manpo Airport,Manpo,North Korea
Manquin Flight Park Ultralightport,Manquin,United States
Matts Airport,Manquin,United States
Crabbe Airport,Manquin,United States
Manresa Airfield,Manresa,Spain
Mansa Airport,Mansa,Zambia
Wasig Airport,Mansalay,Philippines
Mansehra Airport,Mansehra,Pakistan
Short Field,Mansfield,United States
Jack Miller Airport,Mansfield,United States
Mike Harmon Aviation Airport,Mansfield,United States
Victor Curtis Airport,Mansfield,United States
Van Gorder Airport,Mansfield,United States
K & D Airways Airport,Mansfield,United States
Rall Field,Mansfield,United States
Mansfield Airport,Mansfield,Canada
Marvin D Bradd Airport,Mansfield,United States
Flying L Airpark,Mansfield,United States
Clapper Airport,Mansfield,United States
Gorman Airport,Mansfield,United States
Mansonville Airport,Mansonville,Canada
Mansukun Airport,Mansukum,Panama
Lamb's Field,Mantachie,United States
Mantecal Airport,Mantecal,Venezuela
Mantena Airport,Mantena,Brazil
Neiner Airport,Manteno,United States
Brandt Airport,Manteno,United States
Spangler Airport,Manteno,United States
Manto Airport,Manto,Honduras
Mäntsälä Airfield UL,Mäntsälä,Finland
Mantsonyane Airport,Mantsonyane,Lesotho
Mänttä - Sassi Airfield,Mänttä,Finland
Mantua Airport,Mantua,Cuba
Albeni Station Airport,Mantuan Downs,Australia
Mantuan Downs Airport,Mantuan Downs,Australia
Cungelella Airport,Mantuan Downs,Australia
Manturovo Airfield,Manturovo,Russia
Manu Airport,Manu,Peru
Manuel Benavides Airport,Manuel Benavides,Mexico
Manumu Airport,Manumu,Papua New Guinea
Manuripi Airport,Manuripi,Bolivia
Manushkino Airfield,Manushkino,Russia
Heyde Airport,Manvel,United States
Manyani Airport,Manyani,Kenya
Balıkesir Manyas Airfield,Manyas,Turkey
Manyatta Airport,Manyatta,Kenya
Loloma Airstrip,Manyinga,Zambia
Manyoni North Airport,Manyoni,Tanzania
Manyoni Airport,Manyoni,Tanzania
Aeródromo Chavarín,Manzanillo,Mexico
Aeródromo La Tigrera,Manzanillo,Mexico
Aeródromo Marabasco,Manzanillo,Mexico
Manzengwenya Airstrip,Manzengwenya,South Africa
Manzherok Airport,Manzherok,Russia
Mao Airport,Mao,Chad
Mbugulo Airstrip,Mapa,Indonesia
Mapenduma Airstrip,Mapenduma,Indonesia
Mapimí Airport,Mapimí,Mexico
Laboratorio del Desierto Airstrip,Mapimí,Mexico
San Jacinto Airport,Mapimí,Mexico
Nuevo Mexico Airport,Mapimí,Mexico
Forrest River Airport,Maple City,United States
Fuller Airfield,Maple Hill,United States
Mavencamp Airport,Maple Lake,United States
Ruder Airport,Maple Park,United States
Maple Airport,Maple Plain,United States
Mayfield (Private) Airport,Maplesville,United States
Kraft Airport,Mapleton,United States
Greg Post Farms Airport,Mapleton,United States
Mapoda Airport,Mapoda,Papua New Guinea
Mapoon Airstrip,Mapoon,Australia
Skardon River Airport,Mapoon,Australia
Maposi Airstrip,Maposi,Papua New Guinea
Mapulaca Airport,Mapulaca,Honduras
Maqshin Airport,Maqshin,Oman
Maquela do Zombo Airport,Maquela do Zombo,Angola
Maquinchao Airport,Maquinchao,Argentina
Mar Abierto Airport,Mar Abierto,Ecuador
Mar del Plata Gliding Club,Mar del Plata,Argentina
Parque Hermoso Airport,Mar Del Plata,Argentina
Estancia Lucila Airport,Mar del Sur,Argentina
Mar'yanivka Airfield,Mar'yanivka,Ukraine
Mar-Kyuel Airport,Mar-Kyuel,Russia
Mara North Conservancy Airstrip,Mara,Kenya
Fazenda Santa Rosa Airport,Mara Rosa,Brazil
Fazenda Itacoatiara Airstrip,Mara Rosa,Brazil
Mara Rosa Airport,Mara Rosa,Brazil
Mara Shikar Airport,Mara Shikar,Kenya
Benedito Mutran Airport,Marabá,Brazil
Colombo Airstrip,Marabá,Brazil
Mina de Buritirama Airport,Marabá,Brazil
Fazenda Padre Cícero Airport,Marabá,Brazil
Fazenda Apucarana,Marabá,Brazil
Fazenda Anhumas Airport,Marabá Paulista,Brazil
Fazenda Figueira Airport,Marabá Paulista,Brazil
Fazenda São Joaquim Airport,Marabá Paulista,Brazil
Fazenda Itapiranga Airport,Marabá Paulista,Brazil
Fazenda São João do Monte Alto Airport,Maracaju,Brazil
Usina Maracaju Airport,Maracaju,Brazil
Fazenda Itaguassu Airport,Maracaju,Brazil
Fazenda Volta Grande Airport,Maracaju,Brazil
Maracaju Airport,Maracaju,Brazil
Fazenda Sossego Airport,Maracaju,Brazil
Fazenda Estiva Airport,Maracaju,Brazil
Fazenda Carmelo Airport,Maracaju,Brazil
Fazenda Palmeira Airstrip,Maracaju,Brazil
Fazenda Serrana Airstrip,Maracaju,Brazil
"Campo di Volo ""Maraclub Icamar""",Maracalagonis,Italy
Maracás Airport,Maracás,Brazil
Mapawa Airstrip,Maragusan,Philippines
Destilaria São Luiz Airport,Maraial,Brazil
Marak Parak Airport,Marak Parak,Malaysia
Marakei Airport,Marakei,Kiribati
Marala Airport,Marala,Republic of the Congo
Maralal (Kisima) Airport,Maralal,Kenya
Maralal Airport,Maralal,Kenya
Maralina Airstrip,Maralina,Papua New Guinea
Maramag Airport,Maramag,Philippines
Dunbar Airport,Maramie,Australia
Koolatah Airport,Maramie,Australia
Maramuni Airport,Maramuni,Papua New Guinea
Gasline Strip,Marana,United States
Tucker Road Landing Field,Marana,United States
Taylor Field,Marana,United States
Palm Valley Tucson Airport,Marana,United States
Maravillas Gap Ranch Airport,Marathon,United States
Stovall Ranch Number 4 Airport,Marathon,United States
Iron Mountain Ranch Airport,Marathon,United States
Pitcock Rosillos Mountain Ranch Airport,Marathon,United States
Cochran Airport,Marathon,United States
Chaney San Francisco Ranch Airport,Marathon,United States
Mayhew Ranch Number 1 Airport,Marathon,United States
Persimmon Gap Ranch Airport,Marathon,United States
Sosa Peak Airport,Marathon,United States
Dry Creek Airport,Marathon,United States
Bullis Gap Ranch Airport,Marathon,United States
San Francisco Creek Ranch Airport,Marathon,United States
Brindle Canyon Airport,Marathon,United States
Upper Maxon Creek Airport,Marathon,United States
Lower Maxon Creek Airport,Marathon,United States
Neal Ranch Airport,Marathon,United States
Yellow Tank Airport,Marathon,United States
Shudde Ranch Airport,Marathon,United States
Stovall Ranch Airport,Marathon,United States
Praia Santana Airport,Maraú,Brazil
Maraú Airport,Maraú,Brazil
Lamogai Airstrip,Maravo,Papua New Guinea
Marawah Airport,Marawah,United Arab Emirates
Marawaka Airport,Marawaka,Papua New Guinea
Marbach-Rielingshausen Airfield,Marbach am Neckar,Germany
McAlister Airpark,Marble,United States
Marble Airstrip,Marble,United States
Woodstock Airport (Marble Bar),Marble Bar,Australia
Marble Bar  airstrip,Marble Bar,Australia
Barry Dotson Ranch Airport,Marble City,United States
Slaughter Ranch Airport,Marble Falls,United States
Foothills-Holcomb Airport,Marble Hill,United States
Ira Biffle Airfield,Marble Hill,United States
Los Llanos Airport,Marcala,Honduras
Fazenda Tatiana Airport,Marcelândia,Brazil
Fazenda Ibicaba Airport,Marcelândia,Brazil
Fazenda Modelo Airport,Marcelândia,Brazil
Fazenda Agromaster Airport,Marcelândia,Brazil
Fazenda Vitória Airport,Marcelândia,Brazil
Fazenda Figueira Branca Airport,Marcelândia,Brazil
Fazenda Jandaia Airstrip,Marcelândia,Brazil
Fazenda Santa Emília Airport,Marcelândia,Brazil
Agro Bess Airport,Marcelândia,Brazil
Slaughter Airport,Marceline,United States
Estancia El Cencerro Airport,Marcelino Escalada,Argentina
Pinelli Airport,Marcellus,United States
La Laguna Airport,Marchigue,Chile
La Esperanza Airport,Marchigue,Chile
Paredes Viejas Airport,Marchigue,Chile
El Carrizal Airport,Marchigue,Chile
Envol Ultralight Airfield Alsace,"Marckolsheim, Bas-Rhin",France
Marcos Juarez Airport,Marcos Juarez,Argentina
Kerr Airport,Marcus,United States
Willie's Bomber Patch Airport,Marcus,United States
Sand Field Airport,Marcus,United States
Barren Creek Field Airport,Mardela Springs,United States
Compressor station airfield,Mardie,Australia
Balduino Helmuth Jope Airport,Marechal Cândido Rondon,Brazil
Governo Divaldo Suruagy Airport,Marechal Deodoro,Brazil
Marechal Thaumaturgo Airport,Marechal Thaumaturgo,Brazil
Marek Farms Airport,Marek Farms,Canada
Duk Kwenyakwol Airstrip,Mareng,South Sudan
Flying Q Farm Airport,Marengo,United States
Giblin Farms Airport,Marengo,United States
Wind Rose Farm Airport,Marengo,United States
Hilbert Airport,Marengo,United States
Aerogrange Airport,Marengo,United States
Ferris Field,Marengo,United States
Emerick Airport,Marengo,United States
Walpole Airport,Marengo,United States
Far Field,Marengo,United States
Rawls Ranch Airport,Marfa,United States
Alta Vista Ranch Airport,Marfa,United States
Carrizal Ranch Airport,Marfa,United States
Los Alamos Ranch Airport,Marfa,United States
San Jacinto Ranch Airport,Marfa,United States
Rancho del Martillo Airport,Marfa,United States
Brite Ranch Airport,Marfa,United States
MacGuire Ranch Airport,Marfa,United States
Shurley Ranch Airport,Marfa,United States
Margariti Ultralight Airfield,Margariti,Greece
Margelan Airport,Margelan,Uzbekistan
Marhamtabad Airport,Marhamtabad,India
María Elena Airport,Maria Elena,Chile
San Pablo - Incora Airport,María La Baja,Colombia
Honduras Br Airport,María La Baja,Colombia
Mariama,Mariama,Papua New Guinea
Marianka Airfield,Marianka,Poland
Land's Field,Marianna,United States
County Line Airstrip,Marianna,United States
Gerrard Airport,Marianna,United States
Agrocelta Servicios Aereos Airport,Mariano H. Alfonzo,Argentina
Fazenda São João Airport,Marianópolis do Tocantins,Brazil
Herburtowo Forest Airfield,Marianowo,Poland
Libkovice Airfield,Mariánské,Czech Republic
Marib Airport,Marib,Yemen
Schu Ranch Airport,Maricopa,United States
Serene Field,Maricopa,United States
Hidden Valley Airport,Maricopa,United States
Arizona Bay Airport,Maricopa,United States
Ak Chin Community Airfield,Maricopa,United States
Millar Airport,Maricopa,United States
Donnelly Residence Airport,Maricopa,United States
Flying Bucket Ranch Airport,Maricopa,United States
University of Arizona Maricopa Agricultural Center North Airport,Maricopa,United States
99th Avenue Airport,Maricopa,United States
Marida Airport,Marida,South Sudan
Marie-Louise Airport,Marie-Louise Island,Seychelles
Mariel Airport,Mariel,Cuba
Hankins Airport,Marietta,United States
W.G. Anderson Memorial Airport,Marietta,United States
Travis Airport,Marietta,United States
Faith Field,Marietta,United States
Flying Changes Farm Ultralight Flightpark,Marietta,United States
Marigny Le Grand Air Base,"Marigny, Marne",France
Wenning Landing Area Airport,Marine City,United States
Larson Airport,Marinette,United States
Grand Prouilhat Airfield,"Maringues, Puy-de-Dôme",France
Marinskoye Airfield,Marinskoye,Russia
Lee Farms Airport,Marion,United States
Nighthawks Nest Airport,Marion,United States
South Fork Field,Marion,United States
Ayotte Airport,Marion,United States
H M Ranch Airport,Marion,United States
Gary's Airport,Marion,United States
Soltis Field,Marion,United States
Ag-Alley Airport,Marion,United States
Waldie Farms Airport,Marion,United States
Campbell Ranch Airport,Marion,United States
Anderson Farm Airport,Marion,United States
Hanson Airport,Marion,United States
Saint's Strip Ultralightport,Marion,United States
Marion Center Speedway Airport,Marion Center,United States
Marion Downs Airport,Marion Downs,Australia
Skyharbor Airport,Marion Junction,United States
Manzanita Airport,Mariposa,United States
Grupe Ranch Airport,Mariposa,United States
Blanca Piedra Airstrip,Mariscal Sucre,Ecuador
Herschel Hunter Airport,Marissa,United States
Maritsa Airfield,Maritsa,Bulgaria
Camaya Coast Airport,Mariveles,Philippines
Marj Ruhayyil Air Base,Marj Ruhayyil,Syria
Teenuse-Saare Aerodrome,Märjamaa,Estonia
Arend Airport,Mark Center,United States
Markala Airport,Markala,Mali
Woodbridge Field,Marked Tree,United States
Marked Tree Municipal Airport,Marked Tree,United States
Safron Farms Airport,Markerville,Canada
Longford Airstrip,"Market Drayton, Shropshire",United Kingdom
Manor Farm Airstrip,"Market Harborough, Leicestershire",United Kingdom
Cuxwold Airfield,"Market Rasen, Lincolnshire",United Kingdom
Grange Farm Private Airstrip,"Market Rasen, Lincolnshire",United Kingdom
Brookfield Farm Airstrip,"Market Rasen, Lincolnshire",United Kingdom
Kuva Southeast Airport,Markhamat,Uzbekistan
Johnson Airport,Markle,United States
Sugar Creek Air Park,Markleville,United States
Royal Dutch Aerospace Center,Marknesse,Netherlands
Champion Flying Service Airport,Marks,United States
Selfs Airport,Marks,United States
Altfeld Airfield,Marktheidenfeld,Germany
Příchvoj u Jičína ULM,Markvartice,Czech Republic
Marla Airport,Marla,Australia
Sunset Strip,Marlboro,United States
Rankl Field,Marlborough,United States
Lower Upham Farm Airfield,"Marlborough, Wiltshire",United Kingdom
Clench Common Airfield,"Marlborough, Wiltshire",United Kingdom
Manor Farm Airstrip,"Marlborough, Wiltshire",United Kingdom
Boice Field,Marlow,United States
Lemons Airstrip,Marlow,United States
Brown Airstrip,Marlow,United States
Pettijohn Acres Landing,Marlow,United States
Horning Farms Airstrip,Marlow,United States
Malcom Farm Airport,Marlow,United States
L&L Airport,Marlow,United States
Ramey 1 Airport,Marlow,United States
Jim Pettijohn Memorial Airport,Marlow,United States
VR Airstrip,Marlow,United States
Alford A. Bratcher Airport,Marlow,United States
La Centenera,Marmolejo,Spain
Maroa Airport,Maroa,Venezuela
Maroldsweisach Airstrip,Maroldsweisach,Germany
Waitotehoanga Airstrip,Maromaku,New Zealand
Maromaku West Airstrip,Maromaku,New Zealand
Maromby Airport,Maromby,Madagascar
Marondera Airport,Marondera,Zimbabwe
Baomo Tana Airport,Maroni,Kenya
Moramba Airport,Marovoha,Madagascar
Marpingen Glider Airfield,Marpingen,Germany
Marqua Airport,Marqua,Australia
Southfork Airport,Marquette,United States
Morris Lazy K Ranch Airport,Marquez,United States
Marralum Airport,Marralum,Australia
Marreca Airport,Marreca,Brazil
Lakehill Airport,Mars,United States
Mars Hill Airport,Mars Hill,United States
Skyline Peak Airport,Mars Hill,United States
Meliha Airport,Marsa Matruh,Egypt
Marsabit Airport,Marsabit,Kenya
Segel Airprot,Marsabit,Kenya
Peter Pan Airfield,Marsciano (PG),Italy
Mitchell Restricted Landing Area Airport,Marseilles,United States
Prairie Lake Hunt Club Airport,Marseilles,United States
David Gillespie Airport,Marseilles,United States
Jim Wehrli Memorial Airport,Marseilles,United States
Kibler Airport,Marshall,United States
R & R Ranch Airport,Marshall,United States
Spring Valley Farm Airport,Marshallville,United States
Beckner Field,Marshfield,United States
Wells Airport,Marshfield,United States
Mc Donald Field,Marshville,United States
Brown Field,Marshville,United States
Symms Airport,Marsing,United States
Weitz Airport,Marsing,United States
Brancion Airfield,"Martailly-lès-Brancion, Saône-et-Loire",France
Kohles Airport,Martell,United States
Lerchs Airport,Martelle,United States
Saskatoon/Richter Field Airport,Martensville,Canada
Marthaguy airstrip private,Marthaguy,Australia
Pear Tree Farm Airstrip,Marthall,United Kingdom
Martí Agricultural Airfield,Martí,Cuba
Hollow Top Airport,Martin,United States
Martina Franca Air Force Base,Martina Franca,Italy
Martinica Airport,Martinica,Ecuador
Fazenda Turmalina Airport,Martinópolis,Brazil
Fazenda Nova Califórnia Airport,Martinópolis,Brazil
Fazenda Guadiana Airport,Martinópolis,Brazil
Martins Airport,Martins,Brazil
Michaels Farms Airport,Martinsburg,United States
Gravely Airport,Martinsville,United States
Covington Airport,Martinsville,United States
Mattingly Field,Martinsville,United States
Winters Airport,Martinsville,United States
Mc Daniel's Field,Martinsville,United States
Loury Lester Airpark,Martinsville,United States
Davis Field,Martinsville,United States
Hodges Airport,Martinsville,United States
Twelve Oaks Airport,Martinsville,United States
Jungclaus Airport,Martinsville,United States
Marič Airfield,Martjanci,Slovenia
Fern Farm Airstrip UL,Marton,United Kingdom
Martuba Air Base,Martuba,Libya
Pa Dali Airport,Marudi,Malaysia
Marulan (Tangryang) Airstrip,Marulan,Australia
Marurawana Airport,Marurawana,Guyana
Agropecuária Cajabi Airport,Marvelândia,Brazil
Gibbons Airport,Marvell,United States
Andy Riddell Flying Service Airport,Marvell,United States
Marville Montmédy Airfield,"Marville, Meuse",France
Mary River Aerodrome,Mary River,Canada
Maryanovka Airfield,Maryanovka,Russia
Our Domain Airport,Marydel,United States
Maryfield Aerodrome,Maryfield,Canada
Twin Lakes Airport,Marysville,United States
Fl-Airfield,Marysville,United States
Double Tree Farm Airport,Marysville,United States
Grange View homestead airfield,Maryvale,Australia
Montvale Airpark,Maryville,United States
Rankin Airport,Maryville,United States
Masa Airport,Masa,Papua New Guinea
Fig Tree  Airport,Masai Mara National Park,Kenya
Masalani (Fanjaa) Airport,Masalani,Kenya
Masalembo Airport,Masalembo Island,Indonesia
Masame Airport,Masame,Botswana
Masamuna Airport,Masamuna,Democratic Republic of the Congo
Pong Am Dong North R802 (탁구암동 노스 R802) (G-802) Airport,Masan,South Korea
Masasi Airport,Masasi,Tanzania
Grass Roots Airpark,Mascotte,United States
Masea Airport,Masea,Cameroon
Bateleur Airport,Maselsfontein,South Africa
Padova Sud Airfield,Maserà di Padova (PD),Italy
Mashai Store Airport,Mashai Store,Lesotho
Terendak Camp Airstrip,Mashid Tanah,Malaysia
Mashient Airstrip,Mashient,Ecuador
Mashientenza Airstrip,Mashientenza,Ecuador
Mashuin Airstrip,Mashuin,Ecuador
Mashumbi Airport,Mashumbi,Zimbabwe
Masi Manimba Airport,Masi Manimba,Democratic Republic of the Congo
Wakde Airport,Masi Masi Island,Indonesia
Masindi Airport,Masindi,Uganda
Poon Coto Airstrip,Masinloc,Philippines
Masisea Airport,Masisea,Peru
Masjok Airstrip,Masjok,Norway
Maslarevo Airstrip,Maslarevo,Bulgaria
Masnami Airport,Masnami,Kenya
Harkey Ranch Airport,Mason,United States
B Flying Ranch Airport,Mason,United States
Bar Triangle Airport,Mason,United States
Snowden Field,Mason,United States
Monument Mountain Airport,Mason,United States
Red Sands Ranch Airport,Mason,United States
Sawyer Field,Mason,United States
Eichmeier Field,Mason,United States
Collins-Flege Airpark,Mason,United States
Harris Field,Mason City,United States
Olmstead Landing Strip,Masonville,United States
Nikkila Farms Airport,Mass,United States
Vivoli Airfield,Massa Marittima (GR),Italy
Massangena Airport,Massangena,Mozambique
Beestekraal Airport,Massikier,South Africa
Massingir Airport,Massingir,Mozambique
Masslo Airport,Masslo,Ethiopia
Masurash Airstrip,Masurash,Ecuador
Masusu Airport,Masusu,Tanzania
Mbono 2 Airport,Maswa,Tanzania
Costa dos Coqueiros Airport,Mata De São João,Brazil
Aníbal Azevedo Filho Airstrip,Mata de São João,Brazil
Las Brisas Airport,Mata de Vino,Venezuela
Matabeng Store Airport,Matabeng Store,Lesotho
Matabeng Village Airport,Matabeng Village,Lesotho
Matachí Airport,Matachí,Mexico
Tee Pee Creek Airport,Matador,United States
National Wildlife Refuge Airport,Matagorda Island,United States
Matak Airstrip,Matak,Papua New Guinea
Matakana Island Airport,Matakana Island,New Zealand
Matala Airport,Matala,Angola
Matamata airport,Matamata,Australia
Matambwe Airport,Matambwe,Tanzania
Los Ebanos Airport,Matamoros,Mexico
La Esperanza Airport,Matamoros,Mexico
Santa Elena Airport,Matamoros,Mexico
Matangeni East Airstrip,Matangeni,Kenya
Matany Airstrip,Matany,Uganda
Fazenda Cambuhy Airport,Matão,Brazil
Matarangi Airport,Matarangi,New Zealand
Mataranka township airport,Mataranka,Australia
Matari Airport,Matari,Democratic Republic of the Congo
Matatiele Airport,Matatiele,South Africa
Matawatchan Aerodrome,Matawatchan,Canada
Recanto das Araras Airstrip,Mateiros,Brazil
Merlin Agro Airport,Mateiros,Brazil
Fazenda Paraiso Rio Galhão III Airstrip,Mateiros,Brazil
Agrícola Rio Galhão Airport,Mateiros,Brazil
Mateiros Airport,Mateiros,Brazil
Fazenda São Gabriel Airstrip,Mateiros,Brazil
Matemanga Airport,Matemanga,Tanzania
Matemo Airport,Matemo,Mozambique
Mateo Remas Airport,Mateo Remas,Cuba
Botsalano Airport,Mathase,South Africa
Matheson Island Airport,Matheson Island,Canada
Foster Field,Mathews,United States
Airforce Turbine Service Private Airport,Mathis,United States
Los Ebanos Ranch Airport,Mathis,United States
Berço das Gerais Airport,Matias Cardoso,Brazil
Fazenda Teragro Airport,Matias Cardoso,Brazil
Fazenda Jaibense Airport,Matias Cardoso,Brazil
Ragged Island Airstrip,Matinicus,United States
Matipwili Airport,Matipwili,Tanzania
Matkomnae Airstrip,Matkomrae,Papua New Guinea
Matkópuszta Airfield,Matkópuszta,Hungary
Mato Verde Municipal Airport,Mato Verde,Brazil
Mazza Airport,Matoaca,United States
Fazenda Plataforma Airport,Matões,Brazil
Fazenda Cantanhede Airport,Matões do Norte,Brazil
Matoko Airport,Matoko,Republic of the Congo
Fazenda Montana Airport,Matrinchã,Brazil
Fazenda Curral Velho Airport,Matrinchã,Brazil
Matsaile Airport,Matsaile,Lesotho
Kushidagawa Gliderport,Matsusaka,Japan
Alamo Organic Orchards Airstrip,Mattawa,United States
Mattawa Air Strip,Mattawa,United States
Christensen Bros Wahluke Strip,Mattawa,United States
Mattawan Airpark,Mattawan,United States
Kerby Field,Mattawan,United States
Eliott Barrow Airport,Matthews,United States
Malone Airfield,Matthews,United States
Matthews Ridge Airport,Matthews Ridge,Guyana
Townley Farms Airport,Mattoon,United States
Orlando Villas Boas Regional Airport,Matupá,Brazil
Fazenda Chapadão Airport,Matupá,Brazil
Fazenda São José Airstrip,Matupá,Brazil
Fazenda São João Airport,Matupá,Brazil
Hato el Gallo Airstrip,Maturín,Venezuela
Machangulo Airport,Matutuine,Mozambique
Mau Heliport,Mau,India
Larreule Ultralight Airfield,"Maubourguet, Hautes-Pyrénées",France
Rica Airport,Maués,Brazil
Pista Pavarina,Maués,Brazil
Fazenda Teodoro Airport,Maués,Brazil
Mineração Rosa de Maio Airport,Maués,Brazil
Doze de Outubro Airport,Maués,Brazil
Maués Airport,Maués,Brazil
Fazenda Pison Airport,Maués,Brazil
Riverbend Airpark,Mauldin,United States
Mauléon Airfield,Mauléon,France
Nelson Ranch Airport,Maupin,United States
Hepner Airport,Maurertown,United States
River Bend Airport,Maurertown,United States
Fazenda São João Airport,Maurilândia,Brazil
Fazenda Pedra da Letra Airport,Mauriti,Brazil
Mauterndorf Airfield,Mauterndorf,Austria
Mavinza Airport,Mavinza,Republic of the Congo
Mavrovica Airfield,Mavrovica,North Macedonia
Dizon Airstrip,Mawab,Philippines
Mawab Airstrip,Mawab,Philippines
Mawei Airfield,"Mawei, Fuzhou",China
Semchenko Airport,Max,United States
Maxaranguape Airport,Maxaranguape,Brazil
Tengesdal Airport,Maxbass,United States
Aeródromo de Santa Rosa de Lima,Maxcanú,Mexico
Maxville (Bourdon Farm) Airport,Maxville,Canada
Richter Airport,Maxwell,United States
Farrar Airport,Maxwell,United States
Moller Airport,Maxwell,United States
Flying Joseph Ranch Airport,May,United States
May Airport,May,United States
LMC Ranch Airport,May,United States
Young Creek Airport,May Creek,United States
May Downs Station,May Downs,Australia
May River Airstrip,May River,Papua New Guinea
San Ignacio Town (Maya Flats) Airstrip,Maya Flats,Belize
Mayajigua Airport,Mayajigua,Cuba
Mayamey Airport,Mayamey,Iran
Maybee Airport,Maybee,United States
New Grimmet Farm Airstrip,"Maybole, South Ayrshire",United Kingdom
YDNA,Maydena,Australia
EZ Ranch Airport,Mayer,United States
Sell's Flying Field,Mayer,United States
Ziermann Airport,Mayer,United States
Mayerhofen Airfield,Mayerhofen,Austria
Heigle Field,Mayersville,United States
Dabbs Airport,Mayesville,United States
P and R Field,Mayfield,United States
