name,city,country
"Stavanger Airport, Sola",Stavanger,Norway
Columbia Metropolitan Airport,Columbia,United States
"Trondheim Airport, Værnes",Trondheim,Norway
Harrisburg International Airport,Harrisburg,United States
Huntsville International Carl T Jones Field,Huntsville,United States
North Las Vegas Metropolitan International Airport,Las Vegas,United States
Catania-Fontanarossa Airport,Catania,Italy
Charlottesville Albemarle Airport,Charlottesville,United States
"Florence Airport, Peretola",Firenze (FI),Italy
Fresno Yosemite International Airport,Fresno,United States
Jackson Hole Airport,Jackson,United States
Myrtle Beach International Airport,Myrtle Beach,United States
East Midlands Airport,Nottingham,United Kingdom
Kempegowda International Airport,Bangalore,India
Chattanooga Metropolitan Airport (Lovell Field),Chattanooga,United States
Lubbock Preston Smith International Airport,Lubbock,United States
Adelaide International Airport,Adelaide,Australia
Kelowna International Airport,Kelowna,Canada
Paris-Beauvais Airport,Tillé,France
Hannover Airport,Hannover,Germany
Bordeaux-Mérignac Airport,Bordeaux/Mérignac,France
Princess Juliana International Airport,Saint Martin,Sint Maarten
Glasgow Prestwick Airport,"Prestwick, South Ayrshire",United Kingdom
Regina International Airport,Regina,Canada
Fort Lauderdale Executive Airport,Fort Lauderdale,United States
Hilo International Airport,Hilo,United States
Kingston Norman Rogers Airport,Kingston,Canada
Congonhas Airport,São Paulo,Brazil
Van Nuys Airport,Van Nuys,United States
Bahrain International Airport,Manama,Bahrain
Gdańsk Lech Wałęsa Airport,Gdańsk,Poland
César Manrique-Lanzarote Airport,San Bartolomé,Spain
Region of Waterloo International Airport,Breslau,Canada
Austin Straubel International Airport,Green Bay,United States
Diagoras Airport,Rhodes,Greece
Saskatoon John G. Diefenbaker International Airport,Saskatoon,Canada
"Sandefjord Airport, Torp",Torp,Norway
Billund Airport,Billund,Denmark
Corfu Ioannis Kapodistrias International Airport,Kerkyra (Corfu),Greece
Rotterdam The Hague Airport,Rotterdam,Netherlands
Santa Fe Municipal Airport,Santa Fe,United States
Centennial Airport,Denver,United States
Gimpo International Airport,Seoul,South Korea
Kissimmee Gateway Airport,Orlando,United States
M. R. Štefánik Airport,Bratislava,Slovakia
Hurghada International Airport,Hurghada,Egypt
Malé International Airport,Malé,Maldives
Fort Wayne International Airport,Fort Wayne,United States
Nadi International Airport,Nadi,Fiji
DeKalb Peachtree Airport,Atlanta,United States
Leeds Bradford Airport,"Leeds, West Yorkshire",United Kingdom
Stockholm Skavsta Airport,Nyköping,Sweden
Springfield Branson National Airport,Springfield,United States
Montgomery-Gibbs Executive Airport,San Diego,United States
Guadalajara International Airport,Guadalajara,Mexico
Queen Beatrix International Airport,Oranjestad,Aruba
Aberdeen Dyce Airport,Aberdeen,United Kingdom
Rick Husband Amarillo International Airport,Amarillo,United States
San Luis County Regional Airport,San Luis Obispo,United States
South Bend Regional Airport,South Bend,United States
Falcone–Borsellino Airport,Palermo,Italy
Turin Airport,Caselle Torinese (TO),Italy
Las Américas International Airport,Santo Domingo,Dominican Republic
Bellingham International Airport,Bellingham,United States
Bilbao Airport,Bilbao,Spain
The Eastern Iowa Airport,Cedar Rapids,United States
Jersey Airport,Saint Helier,Jersey
Siem Reap International Airport,Siem Reap,Cambodia
Addis Ababa Bole International Airport,Addis Ababa,Ethiopia
St. John's International Airport,St. John's,Canada
Fairbanks International Airport,Fairbanks,United States
Montreal International (Mirabel) Airport,Montréal,Canada
Thunder Bay Airport,Thunder Bay,Canada
Buttonville Municipal Airport,Toronto,Canada
Doha International Airport,Doha,Qatar
Santa Monica Municipal Airport,Santa Monica,United States
Orlando Executive Airport,Orlando,United States
Billings Logan International Airport,Billings,United States
Hector International Airport,Fargo,United States
Santos Dumont Airport,Rio de Janeiro,Brazil
Sioux Falls Regional Airport / Joe Foss Field,Sioux Falls,United States
Treviso Antonio Canova Airport,Treviso (TV),Italy
Lakefront Airport,New Orleans,United States
Kuwait International Airport,Kuwait City,Kuwait
Camarillo International Airport,Camarillo,United States
Gainesville Regional Airport,Gainesville,United States
New York Stewart International Airport,Newburgh,United States
Santorini Airport,Santorini Island,Greece
Wilmington International Airport,Wilmington,United States
Sedona Airport,Sedona,United States
Presidente Juscelino Kubitschek International Airport,Brasília,Brazil
La Aurora Airport,Guatemala City,Guatemala
"Tromsø Airport, Langnes",Tromsø,Norway
Mariscal Sucre International Airport,Quito,Ecuador
George Best Belfast City Airport,Belfast,United Kingdom
Cork Airport,Cork,Ireland
Mahlon Sweet Field,Eugene,United States
Long Island Mac Arthur Airport,Islip,United States
McClellan-Palomar Airport,Carlsbad,United States
Scottsdale Airport,Scottsdale,United States
Xi'an Xianyang International Airport,Xianyang (Weicheng),China
Adnan Menderes International Airport,Gaziemir,Turkey
Darwin International Airport / RAAF Darwin,Darwin,Australia
Tribhuvan International Airport,Kathmandu,Nepal
Innsbruck Airport,Innsbruck,Austria
Roanoke–Blacksburg Regional Airport,Roanoke,United States
Lakeland Linder International Airport,Lakeland,United States
Stockholm-Bromma Airport,Stockholm,Sweden
Northwest Arkansas National Airport,Fayetteville/Springdale/Rogers,United States
Muskoka Airport,Gravenhurst,Canada
Bozeman Yellowstone International Airport,Bozeman,United States
Lincoln Airport,Lincoln,United States
Midland International Air and Space Port,Midland,United States
Seattle Paine Field International Airport,Everett,United States
Charles M. Schulz Sonoma County Airport,Santa Rosa,United States
Naples Municipal Airport,Naples,United States
Fuerteventura Airport,El Matorral,Spain
Lehigh Valley International Airport,Allentown,United States
Grantley Adams International Airport,Bridgetown,Barbados
Duluth International Airport,Duluth,United States
Mobile Regional Airport,Mobile,United States
Wellington International Airport,Wellington,New Zealand
Verona Villafranca Valerio Catullo Airport,Caselle (VR),Italy
Weeze Airport,Weeze,Germany
King Abdulaziz International Airport,Jeddah,Saudi Arabia
Phnom Penh International Airport,Phnom Penh (Pou Senchey),Cambodia
Laurence G Hanscom Field,Bedford,United States
Bremen Airport,Bremen,Germany
Melbourne Orlando International Airport,Melbourne,United States
Southampton Airport,Southampton,United Kingdom
Aspen-Pitkin County Airport (Sardy Field),Aspen,United States
Miami-Opa Locka Executive Airport,Miami,United States
Sacramento Executive Airport,Sacramento,United States
Napa County Airport,Napa,United States
Carrasco General Cesáreo L. Berisso International Airport,Ciudad de la Costa,Uruguay
Sharm El Sheikh International Airport,Sharm El Sheikh,Egypt
Madeira International Airport Cristiano Ronaldo,Funchal,Portugal
Abbotsford International Airport,Abbotsford,Canada
Gander International Airport / CFB Gander,Gander,Canada
Cincinnati Municipal Airport Lunken Field,Cincinnati,United States
Northeast Florida Regional Airport,St Augustine,United States
Oshawa Executive Airport,Oshawa,Canada
Osaka International Airport,Osaka,Japan
Simón Bolívar International Airport,Caracas,Venezuela
Baton Rouge Metropolitan Airport,Baton Rouge,United States
Corpus Christi International Airport,Corpus Christi,United States
Jackson-Medgar Wiley Evers International Airport,Jackson,United States
Capital City Airport,Lansing,United States
Malmö Sturup Airport,Malmö,Sweden
Penang International Airport,Penang,Malaysia
Rochester International Airport,Rochester,United States
Wilkes Barre Scranton International Airport,Wilkes-Barre/Scranton,United States
Cagliari Elmas Airport,Cagliari,Italy
Missoula International Airport,Missoula,United States
Nantucket Memorial Airport,Nantucket,United States
Chania International Airport,Souda,Greece
Charles B. Wheeler Downtown Airport,Kansas City,United States
Buchanan Field,Concord,United States
Peterborough Municipal Airport,Peterborough,Canada
Addison Airport,Dallas,United States
Beirut Rafic Hariri International Airport,Beirut,Lebanon
Bismarck Municipal Airport,Bismarck,United States
Inverness Airport,Inverness,United Kingdom
Prescott International Airport - Ernest A. Love Field,Prescott,United States
Montréal / Saint-Hubert Metropolitan Airport,Montréal,Canada
San Carlos Airport,San Carlos,United States
Palo Alto Airport,Palo Alto,United States
Henderson Executive Airport,Las Vegas,United States
Yeager Airport,Charleston,United States
Samui Airport,Na Thon (Ko Samui Island),Thailand
Newport News Williamsburg International Airport,Newport News,United States
Gold Coast Airport,Gold Coast,Australia
Grand Junction Regional Airport,Grand Junction,United States
Greater Moncton Roméo LeBlanc International Airport,Moncton,Canada
Hilton Head Airport,Hilton Head Island,United States
Martha's Vineyard Airport,Martha's Vineyard,United States
Esenboğa International Airport,Ankara,Turkey
Netaji Subhash Chandra Bose International Airport,Kolkata,India
Da Nang International Airport,Da Nang,Vietnam
L.F. Wade International Airport,Hamilton,Bermuda
Krabi Airport,Krabi,Thailand
Reykjavik Airport,Reykjavik,Iceland
Niagara District Airport,Niagara-on-the-Lake,Canada
Shenzhen Bao'an International Airport,Shenzhen (Bao'an),China
Rafael Nuñez International Airport,Cartagena,Colombia
Portsmouth International at Pease Airport,Portsmouth,United States
Queenstown International Airport,Queenstown,New Zealand
Ottawa / Rockcliffe Airport,Ottawa,Canada
Livermore Municipal Airport,Livermore,United States
Watsonville Municipal Airport,Watsonville,United States
Providenciales International Airport,Providenciales,Turks and Caicos Islands
Tbilisi International Airport,Tbilisi,Georgia
Flagstaff Pulliam International Airport,Flagstaff,United States
Bishop International Airport,Flint,United States
Friedrichshafen Airport,Friedrichshafen,Germany
Great Falls International Airport,Great Falls,United States
Cherry Capital Airport,Traverse City,United States
Mesa Gateway Airport,Mesa,United States
Vero Beach Regional Airport,Vero Beach,United States
Paris-Le Bourget Airport,"Paris (Le Bourget, Seine-Saint-Denis)",France
Kawartha Lakes Municipal Airport,Lindsay,Canada
Chengdu Shuangliu International Airport,Chengdu (Shuangliu),China
Rajiv Gandhi International Airport,Hyderabad,India
Monterrey International Airport,Monterrey,Mexico
Dabolim Airport,Vasco da Gama,India
"Ålesund Airport, Vigra",Ålesund,Norway
Cyril E. King Airport,Charlotte Amalie,U.S. Virgin Islands
Léopold Sédar Senghor International Airport,Dakar,Senegal
Grand Canyon National Park Airport,Grand Canyon - Tusayan,United States
Rogue Valley International Medford Airport,Medford,United States
General Wayne A. Downing Peoria International Airport,Peoria,United States
Eugene F. Kranz Toledo Express Airport,Toledo,United States
Yuma International Airport / Marine Corps Air Station Yuma,Yuma,United States
Collingwood Regional Airport,Collingwood,Canada
Mactan Cebu International Airport,Lapu-Lapu City,Philippines
Owen Roberts International Airport,George Town,Cayman Islands
Kotoka International Airport,Accra,Ghana
José Joaquín de Olmedo International Airport,Guayaquil,Ecuador
Augusta Regional At Bush Field,Augusta,United States
Bodø Airport,Bodø,Norway
Fort Worth Meacham International Airport,Fort Worth,United States
Fredericton Airport,Fredericton,Canada
Kos Airport,Kos Island,Greece
Menorca Airport,Mahón (Maó),Spain
Pueblo Memorial Airport,Pueblo,United States
Paso Robles Municipal Airport,Paso Robles,United States
Catalina Airport,Avalon,United States
Brantford Municipal Airport,Brantford,Canada
Vnukovo International Airport,Moscow,Russia
Tri-Cities Regional TN/VA Airport,Blountville,United States
Eagle County Regional Airport,Eagle,United States
Nantes Atlantique Airport,Nantes,France
Meadows Field,Bakersfield,United States
"Moss Airport, Rygge",Oslo,Norway
Hayward Executive Airport,Hayward,United States
Santiago-Rosalía de Castro Airport,Santiago de Compostela,Spain
Sarajevo International Airport,Sarajevo,Bosnia and Herzegovina
Evansville Regional Airport,Evansville,United States
Kalamazoo Battle Creek International Airport,Kalamazoo,United States
Paphos International Airport,Paphos,Cyprus
Sudbury Airport,Sudbury,Canada
St George Regional Airport,St George,United States
Fukuoka Airport,Fukuoka,Japan
Central Illinois Regional Airport at Bloomington-Normal,Bloomington/Normal,United States
Casper-Natrona County International Airport,Casper,United States
Trenton Mercer Airport,Ewing Township,United States
Gulfport Biloxi International Airport,Gulfport,United States
Juneau International Airport,Juneau,United States
University of Illinois Willard Airport,Savoy,United States
Appleton International Airport,Appleton,United States
Julius Nyerere International Airport,Dar es Salaam,Tanzania
Guanacaste Airport,Liberia,Costa Rica
Atlantic City International Airport,Atlantic City,United States
Canberra International Airport,Canberra,Australia
Kamloops John Moose Fulton Field Regional Airport,Kamloops,Canada
Montgomery Regional (Dannelly Field) Airport,Montgomery,United States
Montpellier-Méditerranée Airport,Montpellier/Méditerranée,France
Cardiff International Airport,"Rhoose, Vale of Glamorgan",United Kingdom
Shreveport Regional Airport,Shreveport,United States
Destin-Fort Walton Beach Airport,Valparaiso,United States
Ithaca Tompkins Regional Airport,Ithaca,United States
Burke Lakefront Airport,Cleveland,United States
Lake Tahoe Airport,South Lake Tahoe,United States
Republic Airport,Farmingdale,United States
Norman Manley International Airport,Kingston,Jamaica
Bari Karol Wojtyła International Airport,Bari,Italy
Dalaman International Airport,Dalaman,Turkey
Easterwood Field,College Station,United States
Exeter International Airport,"Exeter, Devon",United Kingdom
"Kristiansand Airport, Kjevik",Kjevik,Norway
El Alto International Airport,La Paz / El Alto,Bolivia
McAllen Miller International Airport,McAllen,United States
